num_lote|est_lote|nro_tpo|nic|nis|tip_serv|cod_tar|num_orden|tip_os|est_os|f_estm_res|f_uce|f_puest_trat|ruta|num_itin|aol|nom_depto|nom_munic|Cab.Mun-Correg|Urb/Barrio|nom_via|nom_calle|crucero|placa|cgv|ref_dir|Id_Serial_TP|
201709003266|EL003|311066|1940579|1968396|SV100|R34|5237876|TO250|EO004|20170728   |20170929   |20170725   |2|197|5230|VALLE DEL CAUCA|CAICEDONIA|CM CAICEDONIA|EL RECREO|CR|15|5|41| |KR 15 5 41|11223D0364|
201709003266|EL003|311066|1944984|1977206|SV100|R24|5246770|TO250|EO004|20170802   |20170929   |20170913   |6|280|390|VALLE DEL CAUCA|CAICEDONIA|CGTO SAMARIA|VEREDA RISARALDA RURAL|VIA|S/N|SN|150| |2632 221542FCA LA BEGONIA VDA RISARALDA~FINCA LA BEGONIA|11223D0364|
201709003266|EL003|311066|1960719|2008676|SV100|R24|5246771|TO250|EO004|20170802   |20170929   |20170913   |6|283|760|VALLE DEL CAUCA|CAICEDONIA|CGTO SAMARIA|VEREDA EL FRONTINO RURAL|VIA|S/N|SN|440| |109549 221548NODO 221548~VDA EL FRONTINO F EL DIVINO NINO|11223D0364|
201709003266|EL003|311066|1938328|1963894|SV100|CS1|5250105|TO250|EO004|20170804   |20170929   |20170913   |2|57|6375|VALLE DEL CAUCA|CAICEDONIA|CM CAICEDONIA|DANIEL GUTIERREZ ARANGO|CL|13|15SN|110|              LOC  1|ESQ KIOSKO|11223D0364|
201709003266|EL003|311066|1958895|2005028|SV100|R24|5250132|TO250|EO004|20170804   |20170929   |20170818   |2|198|1325|VALLE DEL CAUCA|CAICEDONIA|CM CAICEDONIA|URB LA GUYANA|SECTOR|1|MZ D|9| |URB LA GUYANA MZ D CASA 9|11223D0364|
201709003266|EL003|311066|0|0|SV100| |5304901|TO154|EO004|20170929   |20170929   |20170927   |2|198|1325|VALLE DEL CAUCA|CAICEDONIA|CM CAICEDONIA|LAS AMERICAS|CR|11|10|50| |  -    (  )|11223D0364|
201709003266|EL003|311066|1944073|1975384|SV100|R14|5307088|TO811|EO004|20171003   |20170929   |20170929   |6|266|360|VALLE DEL CAUCA|CAICEDONIA|CGTO BURILA|VEREDA BURILA RURAL|VIA|S/N|SN|850| |109775 221643ALTO FCA EL JARDIN 10002932~FINCA EL JARDIN|11223D0364|
201709003266|EL003|311066|1960710|2008658|SV100|R34|5307144|TO801|EO004|20171003   |20170929   |20170929   |2|58|8540|VALLE DEL CAUCA|CAICEDONIA|CM CAICEDONIA|URB LOS SAUCES|CR|9|2A#1|14| |EL RECREO  COD-ANT 156298|11223D0364|
201709003266|EL003|311066|1937636|1962510|SV100|R44|5307214|TO550|EO004|20171003   |20170929   |20170929   |2|60|4860|VALLE DEL CAUCA|CAICEDONIA|CM CAICEDONIA|EL CARMEN|CL|9|15|34| | |11223D0364|
201709003266|EL003|311066|2957312|3500024|SV100|R34|5307335|TO550|EO004|20171003   |20170929   |20170929   |2|60|2235|VALLE DEL CAUCA|CAICEDONIA|CM CAICEDONIA|LAS AMERICAS|CL|8|12|70|         P  2          |ALQ N 216195|11223D0364|
201709003266|EL003|311066|1937302|1961842|SV100|R34|5307384|TO550|EO004|20171003   |20170929   |20170929   |2|61|7760|VALLE DEL CAUCA|CAICEDONIA|CM CAICEDONIA|EL CARMEN|CL|7|16|7| |CL 7 16 07 NODO 216134|11223D0364|
201709003268|EL003|311085|1909142|1909142|SV100|R14|5302605|TO804|EO004|20170929   |20170929   |20170926   |1|401|50|VALLE DEL CAUCA|CARTAGO|CGTO MODIN|VEREDA ORIENTE RURAL|VIA|S/N|SN|540| |192880 213244VDA ORIENTE FCA LA ESTRELLA POST 213244|11223D036F|
201709003268|EL003|311085|1912535|1912535|SV100|R24|5302829|TO550|EO004|20170929   |20170929   |20170926   |1|406|170|VALLE DEL CAUCA|CARTAGO|CM CARTAGO|CM CARTAGO|VIA|S/N|SN|120| |118780 213217VDA MODIN FCA DON MARIO POST 213217|11223D036F|
201709003268|EL003|311085|1911692|1911692|SV100|R24|5302885|TO801|EO004|20170928   |20170929   |20170926   |6|41|30|VALLE DEL CAUCA|ALCALA|CGTO LA UNION|VEREDA LA UNION RURAL|VIA|S/N|SN|120| |117347 213070VDA LA UNION|11223D036F|
201709003268|EL003|311085|0|0|SV100| |5305037|TO154|EO004|20171002   |20170929   |20170928   |6|41|30|VALLE DEL CAUCA|ULLOA|CGTO MONTEZUMA|CGTO MONTEZUMA RURAL|VIA|S/N|SN|735| |  -    (  )|11223D036F|
201709003268|EL003|311085|2981547|3623111|SV100|R24|5305269|TO811|EO004|20171002   |20170929   |20170928   |6|42|1021|VALLE DEL CAUCA|ULLOA|CGTO CALAMONTE|VEREDA CALAMONTE RURAL|VIA|S/N|SN|251| |ALQ TF 28909|11223D036F|
201709003268|EL003|311085|0|0|SV100| |5305749|TO154|EO004|20171002   |20170929   |20170928   |6|42|1021|VALLE DEL CAUCA|ULLOA|CGTO EL BRILLANTE|VEREDA CHAPINERO RURAL|VIA|S/N|SN|635| |  -    (  )|11223D036F|
201709003268|EL003|311085|1965678|2018594|SV100|IS1|5305769|TO801|EO004|20171002   |20170929   |20170928   |3|32|15|VALLE DEL CAUCA|OBANDO|VEREDA BUENAVISTA|VEREDA BUENAVISTA RURAL|VIA|S/N|SN|190| |118786 213157VDA BUENAVISTA|11223D036F|
201709003268|EL003|311085|0|0|SV100| |5305815|TO154|EO004|20171002   |20170929   |20170928   |3|32|15|VALLE DEL CAUCA|ULLOA|CGTO EL BRILLANTE|VEREDA CHAPINERO RURAL|VIA|S/N|SN|636| |  -    (  )|11223D036F|
201709003268|EL003|311085|1910420|1910420|SV100|R24|5305847|TO804|EO004|20171002   |20170929   |20170928   |1|407|130|VALLE DEL CAUCA|CARTAGO|CGTO PIEDREMOLER|VEREDA BUENA VISTA RURAL|VIA|S/N|SN|430| |118789 213003|11223D036F|
201709003268|EL003|311085|1912720|1912720|SV100|R24|5306097|TO811|EO004|20171002   |20170929   |20170928   |1|403|260|VALLE DEL CAUCA|CARTAGO|CGTO MODIN|VEREDA CHARA RURAL|VIA|S/N|SN|250| |192879 213246FCA EL BRILLANTE FCA EL BRILLANTE~FINCA EL BR|11223D036F|
